Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010012667899,19-Jan-10,1/13/10 18:30,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010012667905,19-Jan-10,1/11/10 0:00,ORD,Chicago O'Hare International Airport,Swiss Air  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010012667906,19-Jan-10,1/6/10 6:00,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010012667911,19-Jan-10,1/13/10 0:00,F,Foreign airport,Air France,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Computer & Accessories,$0.00 ,Deny
2010012667918,19-Jan-10,1/4/10 18:30,BNA,Nashville International,Frontier Airlines,Property Damage,Checked Baggage,Medical/Science,$82.50 ,Settle
2010012667924,19-Jan-10,1/2/10 12:00,PBI,Palm Beach International,Northwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010012767925,19-Jan-10,1/5/10 11:00,LGA,LaGuardia ,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Currency,-,-
2010012767930,19-Jan-10,1/7/10 15:30,PHL,Philadelphia International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Food & Drink,$0.00 ,Deny
2010012267782,20-Jan-10,1/5/10 15:00,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras; Travel Accessories,-,-
2010012267796,20-Jan-10,1/11/10 18:30,BOS,Boston (Logan) International Airport ,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras; Personal Electronics,$0.00 ,Deny
2010012267803,20-Jan-10,1/4/10 0:00,MCO,Orlando International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010012267806,20-Jan-10,1/1/10 0:00,LAX,Los Angeles International Airport ,Alaska Airlines  ,Property Damage,Checked Baggage,Home Decor,-,-
2010012567815,20-Jan-10,1/7/10 0:00,BMI,Bloomington-Normal Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010012567816,20-Jan-10,1/7/10 0:00,PHL,Philadelphia International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010012567817,20-Jan-10,1/15/10 14:00,OMA,Eppley Airfield,-,Property Damage,Checkpoint,Computer & Accessories,$219.65 ,Settle
2010012567818,20-Jan-10,1/11/10 16:00,IAD,Washington Dulles International,Lufthansa  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010012567823,20-Jan-10,1/17/10 13:00,MEM,Memphis International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010012567825,20-Jan-10,1/18/10 0:00,JFK,John F. Kennedy International,Carribean Airlines,Passenger Property Loss,Checkpoint,Computer & Accessories,"$2,101.55 ",Settle
2010012567826,20-Jan-10,1/14/10 16:00,BNA,Nashville International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$37.50 ,Settle
2010012567830,20-Jan-10,1/15/10 13:25,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,-,-,-
2010012567833,20-Jan-10,1/15/10 15:30,IAD,Washington Dulles International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010012567839,20-Jan-10,1/18/10 0:00,PHL,Philadelphia International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010012567849,20-Jan-10,1/9/10 10:15,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines  ,Property Damage,Checkpoint,Other,$0.00 ,Deny
2010012667854,20-Jan-10,1/18/10 18:00,SMF,Sacramento International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2010012667863,20-Jan-10,1/10/10 16:00,DEN,Denver International Airport ,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing,$42.00 ,Approve in Full
2010012667883,20-Jan-10,1/3/10 8:00,STL,Lambert St. Louis International,Southwest Airlines  ,Property Damage,Checkpoint,Travel Accessories,$198.71 ,Approve in Full
2010012767938,20-Jan-10,1/6/10 0:00,HNL,Honolulu International Airport,OMNI Air Express- (OY),Property Damage,Checkpoint,Audio/Video,$80.00 ,Approve in Full
2010012767941,20-Jan-10,1/5/10 0:00,SMF,Sacramento International Airport,USAir  ,Passenger Property Loss,Checkpoint,Currency,$0.00 ,Deny
2010012767949,20-Jan-10,1/1/10 0:00,GRR,Gerald R. Ford International Airport,Northwest Airlines  ,Property Damage,Checked Baggage,Household Items,$51.99 ,Approve in Full
2010012767954,20-Jan-10,1/10/10 13:01,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010012767973,20-Jan-10,1/2/10 14:15,LGA,LaGuardia ,USAir  ,Property Damage,Checkpoint,Clothing,$29.99 ,Approve in Full
2010020268182,20-Jan-10,1/17/10 10:45,JAX,Jacksonville International,American Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,$0.00 ,Deny
2010012667874,21-Jan-10,1/4/10 0:00,HSV,Huntsville International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Accessories,$0.00 ,Deny
2010012667886,21-Jan-10,1/5/10 0:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010012667890,21-Jan-10,1/26/10 0:00,-,-,UAL  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras; Other,-,-
2010012667893,21-Jan-10,1/9/10 8:30,PIE,St. Petersburg-Clearwater International,Allegiant Air,Property Damage,Checkpoint,Other,$30.00 ,Approve in Full
2010012667904,21-Jan-10,1/17/10 13:50,KOA,Kona International,Alaska Airlines  ,Property Damage,Checkpoint,Cameras,$160.00 ,Approve in Full
2010012667908,21-Jan-10,1/13/10 15:55,IAD,Washington Dulles International,Qatar airlines,Passenger Property Loss,Checked Baggage,Clothing; Jewelry & Watches; Jewelry & Watches; Office Equipment & Supplies; Personal Accessories; Personal Accessories,$0.00 ,Deny
2010012667913,21-Jan-10,1/3/10 15:00,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,$0.00 ,Deny
2010012667921,21-Jan-10,1/15/10 0:00,KOA,Kona International,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Other,$0.00 ,Deny
