Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010011367506,8-Jan-10,1/1/10 7:00,LAX,Los Angeles International Airport ,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cameras; Cameras,$0.00 ,Deny
2010011367520,8-Jan-10,1/3/10 19:00,MEM,Memphis International Airport,KLM Royal Dutch Airlines,Property Damage,Checked Baggage,Other,$0.00 ,Deny
2010011367521,8-Jan-10,1/7/10 8:30,BWI,Baltimore/Washington Intl Thurgood Marshall,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras; Cameras,$0.00 ,Deny
2010011367536,8-Jan-10,1/1/10 0:00,JFK,John F. Kennedy International,Jet Airways,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010011367537,8-Jan-10,1/4/10 6:30,EWR,Newark International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Other,$0.00 ,Deny
2010011267441,11-Jan-10,1/5/10 0:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Computer & Accessories,$0.00 ,Deny
2010010867312,11-Jan-10,1/5/10 0:00,SMF,Sacramento International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010011167431,11-Jan-10,1/7/10 0:00,GEG,Spokane International,USAir  ,Passenger Property Loss,Checked Baggage,"Books, Magazines & Other; Computer & Accessories",-,-
2010011267439,11-Jan-10,1/8/10 17:00,MSY,New Orleans International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing; Toys & Games,$0.00 ,Deny
2010011267443,11-Jan-10,1/3/10 8:00,PHX,Phoenix Sky Harbor International,USAir  ,Passenger Property Loss,Checked Baggage,Home Decor; Other; Other,$0.00 ,Deny
2010011267446,11-Jan-10,1/8/10 0:00,EWR,Newark International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,$0.00 ,Deny
2010011267447,11-Jan-10,1/5/10 11:00,BTR,Baton Rouge Metropolitan,Delta Air Lines  ,Property Damage,Checked Baggage,Cosmetics & Grooming; Other,$0.00 ,Deny
2010011267448,11-Jan-10,1/3/10 8:30,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010011267450,11-Jan-10,1/7/10 14:03,DEN,Denver International Airport ,Frontier Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2010011267454,11-Jan-10,1/4/10 0:00,DEN,Denver International Airport ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Toys & Games; Toys & Games,$0.00 ,Deny
2010011267456,11-Jan-10,1/2/10 13:15,DAL,Dallas Love Field,Southwest Airlines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$12.00 ,Approve in Full
