Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2010040870606,7-Apr-10,4/2/10 12:00,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010040870607,7-Apr-10,3/20/10 16:45,TPA,Tampa International,Delta Air Lines  ,Property Damage,Checkpoint,Travel Accessories,$310.19 ,Settle
2010040970617,7-Apr-10,4/1/10 0:00,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010040970618,7-Apr-10,1/18/10 0:00,DCA,Ronald Reagan Washington National Airport,AirTran Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2010040970626,7-Apr-10,4/2/10 14:30,FLG,Flagstaff Pulliam,Horizon Air,Passenger Property Loss,Checkpoint,Currency; Other,$0.00 ,Deny
2010040970628,7-Apr-10,3/17/10 0:00,DEN,Denver International Airport ,USAir  ,Property Damage,Checked Baggage,Household Items,$0.00 ,Deny
2010040970640,7-Apr-10,4/6/10 0:00,PSE,Mercedita Airport,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,$249.25 ,Approve in Full
2010040970646,7-Apr-10,1/12/10 9:00,SLC,Salt Lake City International Airport,Northwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010040970647,7-Apr-10,1/24/10 0:00,AUS,Austin-Bergstrom International Airport,Northwest Airlines  ,Property Damage,Checkpoint,Cameras,$115.00 ,Settle
2010040970648,7-Apr-10,3/28/10 6:50,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,$0.00 ,Deny
2010040970658,7-Apr-10,3/24/10 0:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,-,-
2010040970666,7-Apr-10,3/1/10 7:00,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,-,$0.00 ,Deny
2010040970670,7-Apr-10,3/19/10 0:00,ONT,Ontario International,UAL  ,Property Damage,Checked Baggage,Other,$142.43 ,Approve in Full
2010040970676,7-Apr-10,4/1/10 7:20,BOS,Boston (Logan) International Airport ,USAir  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$273.60 ,Settle
